county,MDI rate,Standard Error
1001,0.1407,0.0182
1003,0.0658,0.0104
1005,0.2488,0.0253
1007,0.2079,0.0236
1009,0.1159,0.0171
1011,0.2488,0.0253
1013,0.1320,0.0138
1015,0.3658,0.0282
1017,0.1542,0.0152
1019,0.1502,0.0159
1021,0.1542,0.0152
1023,0.1571,0.0171
1025,0.1571,0.0171
1027,0.1502,0.0159
1029,0.1502,0.0159
1031,0.1320,0.0138
1033,0.1289,0.0124
1035,0.1571,0.0171
1037,0.1542,0.0152
1039,0.1320,0.0138
1041,0.1320,0.0138
1043,0.1702,0.0185
1045,0.1620,0.0110
1047,0.2079,0.0236
1049,0.1882,0.0273
1051,0.1407,0.0182
1053,0.1571,0.0171
1055,0.3653,0.0265
1057,0.1566,0.0173
1059,0.1289,0.0124
1061,0.1620,0.0110
1063,0.2079,0.0236
1065,0.2079,0.0236
1067,0.1620,0.0110
1069,0.1620,0.0110
1071,0.1882,0.0273
1073,0.3093,0.0089
1075,0.1566,0.0173
1077,0.1289,0.0124
1079,0.1603,0.0226
1081,0.1251,0.0140
1083,0.0871,0.0158
1085,0.1407,0.0182
1087,0.2488,0.0253
1089,0.1954,0.0213
1091,0.2079,0.0236
1093,0.1495,0.0161
1095,0.1948,0.0207
1097,0.2078,0.0231
1099,0.1571,0.0171
1101,0.1753,0.0191
1103,0.1603,0.0226
1105,0.2079,0.0236
1107,0.1116,0.0187
1109,0.2488,0.0253
1111,0.1502,0.0159
1113,0.2488,0.0253
1115,0.1159,0.0171
1117,0.0691,0.0097
1119,0.2079,0.0236
1121,0.1502,0.0159
1123,0.1542,0.0152
1125,0.1402,0.0199
1127,0.1566,0.0173
1129,0.1571,0.0171
1131,0.1571,0.0171
1133,0.1702,0.0185
2013,0.2138,0.0159
2016,0.2138,0.0159
2020,0.1289,0.0292
2050,0.2138,0.0159
2060,0.2138,0.0159
2068,0.0815,0.0163
2070,0.2138,0.0159
2090,0.0815,0.0163
2100,0.0815,0.0163
2105,0.2138,0.0159
2110,0.0815,0.0163
2122,0.1018,0.0150
2130,0.0815,0.0163
2150,0.2138,0.0159
2158,0.2138,0.0159
2164,0.1018,0.0150
2170,0.2138,0.0159
2180,0.2138,0.0159
2185,0.2138,0.0159
2188,0.2138,0.0159
2195,0.2138,0.0159
2198,0.2138,0.0159
2220,0.0815,0.0163
2230,0.0815,0.0163
2240,0.0815,0.0163
2261,0.2138,0.0159
2275,0.2138,0.0159
2282,0.2138,0.0159
2290,0.2138,0.0159
4001,0.2800,0.0185
4003,0.1552,0.0197
4005,0.1563,0.0165
4007,0.1808,0.0229
4009,0.1808,0.0229
4011,0.1808,0.0229
4012,0.1773,0.0176
4013,0.1220,0.0028
4015,0.1773,0.0176
4017,0.2800,0.0185
4019,0.1542,0.0055
4021,0.1392,0.0224
4023,0.1552,0.0197
4025,0.1391,0.0168
4027,0.1861,0.0197
5001,0.2700,0.0295
5003,0.1704,0.0249
5005,0.1625,0.0168
5007,0.0819,0.0089
5009,0.1625,0.0168
5011,0.1704,0.0249
5013,0.1696,0.0215
5015,0.1625,0.0168
5017,0.1704,0.0249
5019,0.1292,0.0133
5021,0.1089,0.0128
5023,0.1757,0.0174
5025,0.1704,0.0249
5027,0.1696,0.0215
5029,0.1596,0.0185
5031,0.1384,0.0141
5033,0.1696,0.0225
5035,0.4013,0.0263
5037,0.4864,0.0275
5039,0.1696,0.0215
5041,0.1704,0.0249
5043,0.1704,0.0249
5045,0.1144,0.0151
5047,0.2376,0.0186
5049,0.1757,0.0174
5051,0.1292,0.0133
5053,0.3359,0.0325
5055,0.1089,0.0128
5057,0.3941,0.0205
5059,0.1292,0.0133
5061,0.2376,0.0186
5063,0.1757,0.0174
5065,0.1757,0.0174
5067,0.1568,0.0185
5069,0.3359,0.0325
5071,0.1596,0.0185
5073,0.3941,0.0205
5075,0.1089,0.0128
5077,0.4864,0.0275
5079,0.1704,0.0249
5081,0.3941,0.0205
5083,0.2376,0.0186
5085,0.1144,0.0151
5087,0.1625,0.0168
5089,0.1625,0.0168
5091,0.3941,0.0205
5093,0.4013,0.0263
5095,0.4864,0.0275
5097,0.1292,0.0133
5099,0.3941,0.0205
5101,0.1625,0.0168
5103,0.1696,0.0215
5105,0.1596,0.0185
5107,0.4864,0.0275
5109,0.3941,0.0205
5111,0.4864,0.0275
5113,0.2376,0.0186
5115,0.1596,0.0185
5117,0.1568,0.0185
5119,0.3083,0.0218
5121,0.1089,0.0128
5123,0.4864,0.0275
5125,0.0716,0.0135
5127,0.2376,0.0186
5129,0.1625,0.0168
5131,0.1696,0.0225
5133,0.2376,0.0186
5135,0.1757,0.0174
5137,0.1757,0.0174
5139,0.1696,0.0215
5141,0.1757,0.0174
5143,0.1116,0.0169
5145,0.1568,0.0185
5147,0.1568,0.0185
5149,0.1596,0.0185
6001,0.1134,0.0041
6003,0.1336,0.0157
6005,0.1336,0.0157
6007,0.1542,0.0194
6009,0.1336,0.0157
6011,0.2346,0.0271
6013,0.1016,0.0047
6015,0.1666,0.0198
6017,0.0555,0.0102
6019,0.4614,0.0096
6021,0.2346,0.0271
6023,0.2425,0.0291
6025,0.2483,0.0214
6027,0.1336,0.0157
6029,0.4686,0.0102
6031,0.2209,0.0228
6033,0.1600,0.0178
6035,0.1666,0.0198
6037,0.1968,0.0022
6039,0.5386,0.0295
6041,0.0974,0.0178
6043,0.1336,0.0157
6045,0.1600,0.0178
6047,0.2457,0.0258
6049,0.1666,0.0198
6051,0.1336,0.0157
6053,0.1675,0.0198
6055,0.0932,0.0165
6057,0.0951,0.0203
6059,0.1381,0.0039
6061,0.0785,0.0134
6063,0.1666,0.0198
6065,0.1502,0.0046
6067,0.1555,0.0056
6069,0.1642,0.0233
6071,0.1745,0.0046
6073,0.1429,0.0033
6075,0.1224,0.0059
6077,0.3841,0.0105
6079,0.0987,0.0176
6081,0.1006,0.0060
6083,0.1957,0.0242
6085,0.1034,0.0048
6087,0.1627,0.0251
6089,0.1695,0.0222
6091,0.0951,0.0203
6093,0.1666,0.0198
6095,0.1225,0.0176
6097,0.1171,0.0193
6099,0.1550,0.0228
6101,0.1581,0.0135
6103,0.2346,0.0271
6105,0.2346,0.0271
6107,0.2668,0.0309
6109,0.1336,0.0157
6111,0.1301,0.0075
6113,0.1864,0.0187
6115,0.1581,0.0135
8001,0.0884,0.0162
8003,0.2307,0.0230
8005,0.0849,0.0057
8007,0.0802,0.0098
8009,0.2307,0.0230
8011,0.0909,0.0133
8013,0.0656,0.0120
8014,0.1108,0.0217
8015,0.1026,0.0150
8017,0.0909,0.0133
8019,0.0547,0.0129
8021,0.2307,0.0230
8023,0.2307,0.0230
8025,0.0909,0.0133
8027,0.1026,0.0150
8029,0.1054,0.0154
8031,0.1175,0.0078
8033,0.0802,0.0098
8035,0.0295,0.0077
8037,0.0726,0.0210
8039,0.0801,0.0125
8041,0.0901,0.0073
8043,0.1026,0.0150
8045,0.0714,0.0127
8047,0.0547,0.0129
8049,0.0726,0.0210
8051,0.0802,0.0098
8053,0.0802,0.0098
8055,0.1026,0.0150
8057,0.0726,0.0210
8059,0.0801,0.0136
8061,0.0909,0.0133
8063,0.0909,0.0133
8065,0.1026,0.0150
8067,0.0802,0.0098
8069,0.0950,0.0161
8071,0.2307,0.0230
8073,0.0909,0.0133
8075,0.0909,0.0133
8077,0.1095,0.0159
