State,Original,Original s.e.,Adjusted,Adjusted s.e.,ADI,ADI s.e.,State ADI,State ADI s.e.,SDI,SDI s.e.,State SDI,State SDI s.e.,Mobility,Mobility s.e.
United States,15.02,0.05,15.52,0.05,14.92,0.05,15.00,0.05,15.68,0.05,15.54,0.05,14.90,0.05
Alabama,21.74,0.29,19.97,0.28,17.96,0.27,16.84,0.27,17.01,0.28,17.54,0.27,16.46,0.27
Alaska,11.40,0.63,15.00,0.64,11.66,0.63,13.60,0.67,12.29,0.64,13.94,0.66,11.02,0.63
Arizona,13.81,0.23,14.82,0.24,16.50,0.24,15.87,0.24,18.15,0.25,16.59,0.25,17.64,0.24
Arkansas,17.48,0.39,18.65,0.40,17.81,0.41,16.46,0.41,16.78,0.39,17.26,0.39,16.01,0.39
California,18.51,0.11,19.82,0.10,17.26,0.11,18.38,0.10,20.94,0.11,18.89,0.10,20.72,0.10
Colorado,9.20,0.21,9.52,0.22,10.19,0.23,11.18,0.24,10.49,0.24,11.93,0.23,10.00,0.22
Connecticut,11.43,0.25,11.43,0.25,12.03,0.25,13.24,0.28,14.04,0.29,13.58,0.28,13.47,0.25
Delaware,11.91,0.57,12.84,0.59,12.25,0.58,13.35,0.58,12.29,0.59,13.56,0.57,11.13,0.58
District of Columbia,20.80,0.89,16.88,0.81,17.91,0.82,19.10,0.85,21.61,0.86,18.10,0.85,19.89,0.83
Florida,13.48,0.13,15.29,0.14,15.40,0.15,15.11,0.15,15.80,0.14,15.80,0.14,15.53,0.13
Georgia,16.73,0.20,16.77,0.20,15.35,0.20,14.59,0.20,15.56,0.19,15.56,0.19,15.19,0.22
Hawaii,9.47,0.41,9.47,0.41,10.44,0.43,12.64,0.43,10.07,0.43,11.82,0.43,9.21,0.42
Idaho,9.68,0.37,9.68,0.37,10.34,0.38,11.27,0.39,10.01,0.38,12.02,0.42,9.26,0.40
Illinois,20.46,0.18,15.17,0.17,13.15,0.16,13.57,0.16,14.57,0.17,14.25,0.17,14.23,0.16
Indiana,14.78,0.23,15.35,0.24,14.25,0.23,13.87,0.23,14.02,0.23,14.57,0.22,13.57,0.23
Iowa,9.66,0.27,9.66,0.27,10.43,0.26,11.40,0.27,10.32,0.27,11.96,0.26,9.79,0.26
Kansas,10.51,0.27,12.16,0.27,12.43,0.28,12.42,0.28,11.75,0.27,13.25,0.27,11.22,0.28
Kentucky,18.69,0.29,18.15,0.29,18.31,0.28,17.39,0.27,17.09,0.28,17.94,0.28,16.53,0.31
Louisiana,19.93,0.30,21.89,0.30,19.46,0.30,18.13,0.31,19.46,0.29,18.71,0.30,18.88,0.31
Maine,10.67,0.34,10.67,0.34,11.36,0.35,12.40,0.37,11.05,0.34,12.51,0.36,10.37,0.35
Maryland,11.89,0.26,10.12,0.25,10.79,0.26,11.63,0.25,11.41,0.24,12.49,0.24,10.93,0.25
Massachusetts,11.22,0.15,13.36,0.17,11.96,0.15,13.18,0.16,13.80,0.17,13.67,0.17,13.47,0.16
Michigan,16.52,0.17,16.11,0.17,15.82,0.17,14.30,0.15,14.78,0.16,14.99,0.16,14.47,0.16
Minnesota,8.83,0.19,8.83,0.19,9.28,0.19,10.30,0.18,9.75,0.19,10.84,0.20,9.36,0.19
Mississippi,19.28,0.38,21.91,0.40,21.45,0.36,19.02,0.39,20.32,0.36,19.71,0.37,19.61,0.40
Missouri,12.84,0.19,14.27,0.21,13.53,0.20,13.32,0.20,13.00,0.20,14.01,0.21,12.60,0.21
Montana,10.35,0.43,10.51,0.43,10.96,0.46,11.59,0.49,10.32,0.42,11.96,0.48,9.50,0.44
Nebraska,9.21,0.29,9.25,0.29,10.12,0.30,10.77,0.31,10.39,0.31,11.67,0.32,9.78,0.32
Nevada,13.18,0.29,14.71,0.31,15.53,0.30,14.97,0.30,17.20,0.33,15.73,0.32,16.54,0.29
New Hampshire,8.12,0.30,8.12,0.30,8.23,0.29,9.52,0.32,8.57,0.29,9.80,0.30,8.00,0.29
New Jersey,11.43,0.18,12.60,0.17,12.17,0.18,13.44,0.18,14.61,0.19,13.82,0.18,14.24,0.17
