Area,Resident Population,Population Density 
Alabama,5024279 ,99 
Alaska,733391 ,1 
Arizona,7151502 ,63 
Arkansas,3011524 ,58 
California,39538223 ,254 
Colorado,5773714 ,56 
Connecticut,3605944 ,745 
Delaware,989948 ,508 
District of Columbia,689545 ,11280 
Florida,21538187 ,401 
Georgia,10711908 ,186 
Hawaii,1455271 ,227 
Idaho,1839106 ,22 
Illinois,12812508 ,231 
Indiana,6785528 ,189 
Iowa,3190369 ,57 
Kansas,2937880 ,36 
Kentucky,4505836 ,114 
Louisiana,4657757 ,108 
Maine,1362359 ,44 
Maryland,6177224 ,636 
Massachusetts,7029917 ,901 
Michigan,10077331 ,178 
Minnesota,5706494 ,72 
Mississippi,2961279 ,63 
Missouri,6154913 ,90 
Montana,1084225 ,7 
Nebraska,1961504 ,26 
Nevada,3104614 ,28 
New Hampshire,1377529 ,154 
New Jersey,9288994 ,1263 
New Mexico,2117522 ,18 
New York,20201249 ,429 
North Carolina,10439388 ,215 
North Dakota,779094 ,11 
Ohio,11799448 ,289 
Oklahoma,3959353 ,58 
Oregon,4237256 ,44 
Pennsylvania,13002700 ,291 
Rhode Island,1097379 ,1061 
South Carolina,5118425 ,170 
South Dakota,886667 ,12 
Tennessee,6910840 ,168 
Texas,29145505 ,112 
Utah,3271616 ,40 
Vermont,643077 ,70 
Virginia,8631393 ,219 
Washington,7705281 ,116 
West Virginia,1793716 ,75 
Wisconsin,5893718 ,109 
Wyoming,576851 ,6 
United States1,331449281 ,94 
Puerto Rico,3285874 ,960 
